,client_id,variation
946,2113818,test
947,9764115,test
948,1296904,control
949,4719244,test
950,6372831,control
951,4313319,control
952,542563,control
953,9076766,control
954,6410961,control
955,3050600,control
956,8945602,control
957,1111442,test
958,1061161,control
959,6580601,control
960,2671815,control
961,8794099,control
962,56570,test
963,1647261,control
964,3579822,control
965,9461504,test
966,4728463,test
967,7377294,test
968,7931364,test
969,8156741,control
970,5033489,control
971,2983878,control
972,3461541,control
973,6434694,control
974,6751236,test
975,7429878,test
976,5171763,control
977,8012228,test
978,7825081,test
979,6046772,test
980,8580049,test
981,2067509,test
982,3944371,control
983,8987034,test
984,5836504,test
985,9111035,test
986,2685663,test
987,2722950,control
988,7218675,control
989,3009581,control
990,8091872,control
991,1755496,test
992,9128400,test
993,3334970,test
994,559468,test
995,1925220,control
996,4979031,test
997,9910098,control
998,983122,control
999,8249646,control
1000,8950069,test
1001,9058579,control
1002,9039182,test
1003,3010914,control
1004,7021345,control
1005,963874,test
1006,1546314,control
1007,7767849,test
1008,7068149,control
1009,8118036,test
1010,9726680,test
1011,4519160,control
1012,6773284,test
1013,7429772,control
1014,2368143,test
1015,6308576,test
1016,3956597,control
1017,3052488,control
1018,8758402,control
1019,9664272,control
1020,6905463,control
1021,1144410,control
1022,2548388,test
1023,9932367,control
1024,3149254,test
1025,2493468,test
1026,7887617,test
1027,3317334,control
1028,5512354,control
1029,7889092,control
1030,5267696,test
1031,7060702,control
1032,8569065,control
1033,2006775,test
1034,6030486,control
1035,6280351,control
1036,2108691,control
1037,2599976,control
1038,2853115,control
1039,4554752,control
1040,8968789,control
1041,1212721,test
1042,3322967,test
1043,6486309,test
1044,5436729,test
1045,3074366,test
1046,3291778,control
1047,7059333,control
1048,5188022,control
1049,6884073,control
1050,5206988,test
1051,3366060,test
1052,7342579,test
1053,1465396,test
1054,4780398,control
1055,2152873,control
1056,9129878,control
1057,4023943,control
1058,521003,control
1059,2021664,test
1060,2601570,test
1061,6066143,test
1062,464620,control
1063,3700898,test
1064,1596808,control
1065,6578023,control
1066,1455127,test
1067,9595233,control
1068,8560542,test
1069,2616663,test
1070,6793640,control
1071,3097635,test
1072,409450,control
1073,7505821,test
1074,2802293,control
1075,7928244,test
1076,6094349,test
1077,6911162,control
1078,5379396,test
1079,2035117,control
1080,2379374,test
1081,6362594,control
1082,749827,test
1083,8462755,control
1084,766467,control
1085,7829434,control
1086,4374006,test
1087,5586955,test
1088,5364422,test
1089,4374056,test
1090,9817774,test
1091,4040468,test
1092,5651761,test
1093,1003061,control
1094,4516267,control
1095,71476,control
1096,5599391,control
1097,2615082,test
1098,8466565,test
1099,2471812,test
1100,864721,control
1101,5766460,test
1102,6379996,test
1103,3391330,test
1104,5449569,test
1105,3028832,test
1106,3703213,test
1107,1555813,test
1108,2095170,test
1109,837625,control
1110,1735341,control
1111,3216999,control
1112,5721401,test
1113,9542949,control
1114,9894399,control
1115,5242744,test
1116,5566976,test
1117,934442,control
1118,4363111,control
1119,9340301,control
1120,9967085,control
1121,6251290,test
1122,9573768,control
1123,160938,control
1124,5525291,test
1125,2674649,control
1126,3399215,control
1127,6804613,control
1128,928670,test
1129,9960929,test
1130,7858061,test
1131,7471769,control
1132,65845,control
1133,1732360,control
1134,6591984,control
1135,4133463,test
1136,2541876,test
1137,1483517,test
1138,2044842,control
1139,707815,test
1140,5457890,control
1141,6455115,control
1142,180404,control
1143,7263999,test
1144,2622312,control
1145,8962467,control
1146,2190311,test
1147,3806081,test
1148,6061376,control
1149,3570669,control
1150,7477624,control
1151,6282795,control
1152,6324067,control
1153,5432649,control
1154,331379,control
1155,2062763,test
1156,1163409,test
1157,2553718,test
1158,2759297,test
1159,9173795,test
1160,9077478,test
1161,287756,control
1162,9076007,test
1163,3495059,control
1164,1949154,control
1165,4219577,control
1166,7688646,control
1167,2741439,test
1168,1227035,test
1169,8728382,control
1170,463029,test
1171,7463451,control
1172,7069926,test
1173,7543252,control
1174,9382892,test
1175,6191302,control
1176,5617039,test
1177,1565127,test
1178,3531620,control
1179,7283635,control
1180,8911405,test
1181,9777919,test
1182,2857152,test
1183,8608071,test
1184,9154283,test
1185,7680107,control
1186,2133839,control
1187,1585267,test
1188,3016724,control
1189,161491,control
1190,6106468,control
1191,8182943,test
1192,3239523,control
1193,8538655,test
1194,5322608,control
1195,9128593,control
1196,5823616,test
1197,4706669,control
1198,6431498,control
1199,5841499,control
1200,3703282,control
1201,3571495,control
1202,451443,control
1203,6637378,test
1204,8463084,control
1205,3836344,control
1206,4258976,test
1207,3669611,control
1208,8939444,control
1209,5644756,control
1210,3923657,test
1211,4305565,control
1212,5089039,control
1213,8965532,control
1214,943003,test
1215,2357486,test
1216,9398963,test
1217,1731028,test
1218,8753196,control
1219,6407208,control
1220,2304952,test
1221,9788829,test
1222,2567360,test
1223,4935415,test
1224,2796936,control
1225,4087981,control
1226,1324064,control
1227,2649386,test
1228,2854435,test
1229,637858,control
1230,6121098,test
1231,1322426,test
1232,7336361,test
1233,4623083,test
1234,5617888,test
1235,9638466,control
1236,1527623,control
1237,7758621,test
1238,9603341,control
1239,3418762,control
1240,6240775,test
1241,7564737,test
1242,9128690,test
1243,2195243,test
1244,4147935,test
1245,3062998,test
1246,487462,test
1247,2353193,control
1248,5588396,test
1249,4917803,control
1250,5490654,test
1251,6742624,control
1252,1758566,control
1253,9322805,test
1254,2159101,test
1255,9716117,control
1256,1663358,test
1257,9416337,control
1258,8201398,control
1259,5916407,test
1260,3678111,test
1261,3960380,test
1262,5715241,control
1263,6388327,control
1264,5249171,test
1265,8696157,control
1266,5871224,test
1267,4744245,control
1268,2430937,test
1269,780112,test
1270,809082,test
1271,9612831,control
1272,1865475,test
1273,597792,test
1274,233601,control
1275,1288151,test
1276,8482662,control
1277,174806,control
1278,8620393,test
1279,5919352,control
1280,7397258,control
1281,1311965,control
1282,37408,control
1283,8806276,test
1284,269636,control
1285,7379864,test
1286,5472730,control
1287,9646248,test
1288,2825830,control
1289,6595818,test
1290,9740561,control
1291,9778121,test
1292,8089534,test
1293,1269483,test
1294,6828613,test
1295,6724757,test
1296,7024149,control
1297,6183060,test
1298,6379127,control
1299,7602354,control
1300,345640,test
1301,5180590,test
1302,866133,test
1303,1953574,test
1304,7817761,test
1305,3133001,test
1306,2162418,test
1307,4038383,test
1308,6019257,control
1309,3751021,test
1310,9750016,control
1311,979164,test
1312,5810734,test
1313,1756663,control
1314,6267076,control
1315,196053,control
1316,6741529,control
1317,9132831,test
1318,5060221,control
1319,2968554,control
1320,3401354,test
1321,3132213,control
1322,8891903,test
1323,8242142,test
1324,301165,test
1325,6078664,test
1326,152356,control
1327,8097000,control
1328,242235,test
1329,2363857,control
1330,31502,control
1331,6494639,control
1332,8136342,control
1333,3445770,test
1334,626494,test
1335,3874722,control
1336,7723706,test
1337,2936450,test
1338,7276456,control
1339,2563749,control
1340,8597519,control
1341,8870501,test
1342,160741,test
1343,8891137,test
1344,8254513,control
1345,1374352,test
1346,775176,control
1347,1842343,control
1348,329631,control
1349,4542043,control
1350,7825280,test
1351,6745139,test
1352,6010099,test
1353,3905636,test
1354,283734,test
1355,7957690,control
1356,8069676,control
1357,6396836,test
1358,1423055,test
1359,3135162,test
1360,3623291,test
1361,7344865,control
1362,825852,control
1363,2247954,test
1364,2712519,control
1365,1064476,test
1366,5738894,control
1367,2806504,control
1368,282077,control
1369,3770237,control
1370,499699,test
1371,6195846,control
1372,3920526,test
1373,1900411,control
1374,648881,test
1375,7937128,test
1376,6081769,test
1377,5662925,control
1378,4129662,test
1379,8705202,control
1380,1485054,test
1381,9171585,test
1382,981888,control
1383,9390879,test
1384,7563831,test
1385,103669,test
1386,8902463,control
1387,8409638,test
1388,7583640,control
1389,8413740,control
1390,4145746,test
1391,8171000,control
1392,8586525,test
1393,3667191,test
1394,5112619,control
1395,930021,test
1396,3086953,test
1397,5804913,test
1398,5057948,control
1399,6932133,control
1400,4142763,test
1401,2558031,control
1402,6601606,control
1403,9993047,control
1404,2077336,control
1405,7598039,test
1406,7031386,control
1407,254491,control
1408,8003355,test
1409,7923876,control
1410,8443142,test
1411,8253753,test
1412,1154031,control
1413,7202634,test
1414,7882288,test
1415,9263439,test
1416,1662843,control
1417,5790286,control
1418,823482,control
1419,7534562,test
1420,8326453,test
1421,2929334,test
1422,9669255,test
1423,2555657,test
1424,5703905,test
1425,4439304,test
1426,3673713,control
1427,2775504,test
1428,770147,control
1429,3450220,test
1430,6396865,control
1431,6571403,control
1432,8014451,control
1433,1273901,test
1434,8807567,test
1435,5856806,test
1436,685442,control
1437,3188445,control
1438,5225442,test
1439,2854662,test
1440,3449302,control
1441,8182204,control
1442,2809254,test
1443,2529944,test
1444,7050904,test
1445,8627381,control
1446,5926577,test
1447,8151693,control
1448,6168374,control
1449,881057,test
1450,5555638,control
1451,41516,control
1452,5552819,control
1453,2763758,control
1454,9599875,test
1455,5245124,test
1456,4740032,test
1457,9006692,test
1458,4156608,test
1459,240400,control
1460,3236351,test
1461,5065737,test
1462,7143633,control
1463,6735099,control
1464,9404539,control
1465,9923389,control
1466,503051,control
1467,1669156,test
1468,6542682,control
1469,86780,test
1470,2572041,control
1471,2736294,test
1472,5875727,control
1473,9465015,test
1474,239291,test
1475,7258079,test
1476,4914129,control
1477,2010851,control
1478,6623614,control
1479,9101443,control
1480,6157625,test
1481,3007171,test
1482,353727,control
1483,379137,control
1484,260044,test
1485,42725,test
1486,2819518,test
1487,6862532,test
1488,6036804,test
1489,3329380,test
1490,2898817,control
1491,244011,test
1492,786681,control
1493,941279,control
1494,581882,control
1495,478808,test
1496,2937724,control
1497,773462,control
1498,4766855,test
1499,7893040,control
1500,3423690,control
1501,2153015,control
1502,8538953,control
1503,6490503,control
1504,966341,test
1505,515712,control
1506,2395001,control
1507,460257,test
1508,2237376,test
1509,533320,control
1510,1814949,test
1511,118415,control
1512,270682,control
1513,3407926,control
1514,3812607,test
1515,2620242,control
1516,9887430,test
1517,8671775,control
1518,938268,test
1519,3272906,test
1520,8486603,control
1521,4187527,control
1522,8150031,test
1523,356783,control
1524,6796179,control
1525,8876038,test
1526,1341612,test
1527,5156080,test
1528,4135832,test
1529,1636131,control
1530,9618925,control
1531,6399218,test
1532,6199688,control
1533,6462925,test
1534,6340179,control
1535,4649676,test
1536,6343693,control
1537,7538120,control
1538,148037,control
1539,50325,test
1540,7852915,control
1541,1941272,test
1542,963164,control
1543,3592062,control
1544,7777790,test
1545,7259206,test
1546,6292773,control
1547,6949668,control
1548,108419,test
1549,8866432,test
1550,7430457,test
1551,7059321,control
1552,115839,test
1553,6139333,test
1554,5609004,control
1555,4564948,test
1556,4108261,test
1557,4296623,control
1558,2387182,control
1559,3382714,control
1560,4366790,test
1561,6928355,test
1562,5489642,test
1563,5457087,test
1564,5793876,test
1565,9772972,control
1566,4752282,control
1567,5807085,test
1568,2482224,control
1569,8115079,control
1570,3103157,test
1571,1666696,test
1572,6571686,control
1573,4391047,control
1574,2952896,test
1575,4350833,control
1576,8166616,control
1577,4540109,test
1578,5636190,test
1579,3556889,test
1580,7136865,control
1581,3766006,test
1582,2090574,test
1583,3128635,test
1584,6198147,test
1585,9160341,test
1586,9409908,control
1587,5642208,test
1588,8985316,control
1589,5777036,control
1590,3394078,test
1591,5261313,control
1592,8818002,test
1593,5241981,test
1594,6255565,control
1595,7349912,test
1596,1425912,test
1597,6253802,control
1598,3343218,test
1599,5968033,control
1600,8585073,test
1601,144773,control
1602,4726935,test
1603,1770552,control
1604,3407812,test
1605,4852240,control
1606,5625895,control
1607,6581703,control
1608,4862941,test
1609,6576742,test
1610,6808577,test
1611,1216772,test
1612,7044580,control
1613,7301619,test
1614,8002672,control
1615,6255724,test
1616,4646433,control
1617,9816717,control
1618,2478628,test
1619,1605677,test
1620,5598911,control
1621,9938104,test
1622,8498591,control
1623,7385999,control
1624,5757723,control
1625,4992306,control
1626,1181777,control
1627,204361,control
1628,4972552,control
1629,5021259,control
1630,3089372,test
1631,2411318,control
1632,267299,control
1633,3756516,test
1634,3177299,test
1635,1667795,control
1636,2626569,test
1637,4077197,test
1638,7691865,test
1639,1830511,control
1640,4916553,test
1641,7511654,control
1642,4834299,test
1643,1462470,test
1644,9424502,control
1645,1194408,control
1646,3192339,test
1647,3710720,control
1648,5588167,test
1649,612481,control
1650,1316402,test
1651,428188,control
1652,1912082,test
1653,4070915,test
1654,5469096,control
1655,5037795,control
1656,8548477,test
1657,1759261,control
1658,640995,test
1659,673672,control
1660,9575330,test
1661,5004515,test
1662,3698628,control
1663,9787741,control
1664,1300224,test
1665,6765138,test
1666,6217298,test
1667,1032721,control
1668,4453547,control
1669,1423754,test
1670,7013769,control
1671,1707115,test
1672,86616,control
1673,8514305,control
1674,3077416,control
1675,8140196,test
1676,7803457,control
1677,4803107,test
1678,9041483,control
1679,4373203,control
1680,7470426,control
1681,1051377,control
1682,9198825,control
1683,9709954,control
1684,4623321,test
1685,6126502,control
1686,3064729,test
